id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
725201,The Gray Man,"Action,Thriller",en,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",510.268,7/13/2022,6.8,496
616037,Thor: Love and Thunder,"Action,Adventure,Fantasy",en,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now inexplicably wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",8772.151,7/6/2022,6.7,1317
438148,Minions: The Rise of Gru,"Family,Animation,Adventure,Comedy,Fantasy",en,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",8821.801,6/29/2022,7.5,489
667739,The Man from Toronto,"Action,Comedy,Thriller",en,"In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at an Airbnb.",1299.583,6/24/2022,6.5,474
560057,The Sea Beast,"Animation,Adventure,Family,Fantasy",en,The life of a legendary sea monster hunter is turned upside down when a young girl stows away on his ship.,1723.363,6/24/2022,7.6,439
756999,The Black Phone,"Horror,Thriller",en,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",5278.336,6/22/2022,8,1101
614934,Elvis,"Drama,History,Music",en,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",364.203,6/22/2022,7.8,543
759175,The Princess,"Fantasy,Action",en,"A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom.",2456.15,6/16/2022,7.2,264
718789,Lightyear,"Animation,Science Fiction,Adventure,Action,Family",en,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,5255.93,6/15/2022,7.3,987
615469,Spiderhead,"Science Fiction,Thriller,Drama",en,A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.,942.152,6/15/2022,5.8,728
705861,Hustle,"Drama,Comedy",en,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",966.604,6/3/2022,7.9,1209
507086,Jurassic World Dominion,"Adventure,Action,Science Fiction",en,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.",10436.917,6/1/2022,7,2054
831946,Interceptor,"Action,Thriller,Adventure",en,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,419.751,5/26/2022,6.2,419
361743,Top Gun: Maverick,"Action,Drama",en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",7567.017,5/24/2022,8.4,1690
934761,A Perfect Pairing,"Comedy,Romance",en,"To land a major client, an LA wine exec travels to an Australian sheep station, where she signs on as a ranch hand and hits it off with a rugged local.",180.507,5/19/2022,6.8,248
420821,Chip 'n Dale: Rescue Rangers,"Animation,Family,Comedy,Adventure,Mystery",en,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",419.018,5/18/2022,7.1,673
532710,Firestarter,"Thriller,Science Fiction",en,"For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans.",31.87,5/12/2022,6.1,293
800937,Senior Year,Comedy,en,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,218.557,5/11/2022,5.9,462
810171,The Valet,"Comedy,Romance",en,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",362.118,5/11/2022,7.8,291
785985,The Takedown,"Comedy,Action",fr,"Ousmane Diakité and François Monge are two cops with very different styles, backgrounds and careers. The unlikely pair are reunited once again for a new investigation that takes them across France. What seemed to be a simple drug deal turns out to be a much bigger criminal case wrapped in danger and unexpected comedy.",359.044,5/6/2022,6,285
453395,Doctor Strange in the Multiverse of Madness,"Fantasy,Action,Adventure",en,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",4289.605,5/4/2022,7.5,4782
860159,Crush,"Comedy,Romance",en,"When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",188.819,4/29/2022,7.6,205
818397,Memory,"Action,Thriller,Crime",en,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",1035.835,4/28/2022,7.3,564
829557,365 Days: This Day,"Romance,Drama",en,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",486.946,4/27/2022,5.8,641
648579,The Unbearable Weight of Massive Talent,"Action,Comedy,Crime",en,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",471.442,4/20/2022,7,506
838484,Choose or Die,"Horror,Thriller,Drama",en,"In pursuit of an unclaimed $125,000 prize, a broke college dropout decides to play an obscure, 1980s survival computer game. But the game curses her, and she’s faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments, she realizes she’s no longer playing for the money but for her life.",25.632,4/15/2022,5.3,450
809140,Father Stu,Drama,en,"The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.",872.611,4/13/2022,7.6,209
739993,Metal Lords,"Comedy,Drama,Music",en,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",86.058,4/8/2022,6.8,341
294793,All the Old Knives,"Thriller,Action",en,"When the CIA discovers one of its agents leaked information that cost more than 100 people their lives, veteran operative Henry Pelham is assigned to root out the mole with his former lover and colleague Celia Harrison.",199.397,4/8/2022,6,307
639933,The Northman,"Action,Adventure,Fantasy",en,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",949.779,4/7/2022,7.2,1948
